,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15
D1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
D2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
D3,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1
D4,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0
D5,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0
D6,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
D7,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
D8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
D9,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
D10,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1
D11,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1
D12,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1
D13,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1
D14,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
D15,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
D16,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
