,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15
P1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
P3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
P4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
P5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
P6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P7,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
P8,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1
P9,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
P10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
P11,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
P12,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
P13,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
P14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
P15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
